timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 13:37:22.288, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:23.288, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:24.288, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:25.289, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:26.289, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:27.289, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:28.290, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:29.290, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:30.290, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:31.291, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:32.291, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:33.291, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:34.291, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:35.292, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:36.292, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:37.292, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:38.293, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:39.293, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:40.293, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:41.294, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:42.294, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:43.294, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:44.295, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:45.295, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:46.295, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:47.296, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:48.296, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:49.296, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:50.297, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:51.297, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:52.297, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:53.298, 0 %, 0 %, 1060 MiB
